country,year,month,month_year,best
Afghanistan,2023,1,202301,54
Afghanistan,2023,2,202302,21
Afghanistan,2023,3,202303,47
Afghanistan,2023,4,202304,52
Afghanistan,2023,5,202305,16
Afghanistan,2023,6,202306,24
Afghanistan,2023,7,202307,15
Afghanistan,2023,8,202308,22
Afghanistan,2023,9,202309,5
Afghanistan,2023,10,202310,49
Afghanistan,2023,11,202311,21
Afghanistan,2023,12,202312,9
Afghanistan,2024,1,202401,26
Afghanistan,2024,2,202402,1
Afghanistan,2024,3,202403,56
Afghanistan,2024,4,202404,12
Afghanistan,2024,5,202405,47
Afghanistan,2024,6,202406,15
Afghanistan,2024,7,202407,17
Afghanistan,2024,8,202408,16
Afghanistan,2024,9,202409,45
Afghanistan,2024,10,202410,15
Afghanistan,2024,11,202411,17
Afghanistan,2024,12,202412,88
Israel,2018,1,201801,4
Israel,2018,2,201802,2
Israel,2018,3,201803,23
Israel,2018,4,201804,2
Israel,2018,5,201805,4
Israel,2018,6,201806,1
Israel,2018,7,201807,12
Israel,2018,8,201808,5
Israel,2018,9,201809,0
Israel,2018,10,201810,0
Israel,2018,11,201811,15
Israel,2018,12,201812,7
Israel,2019,1,201901,2
Israel,2019,2,201902,0
Israel,2019,3,201903,5
Israel,2019,4,201904,1
Israel,2019,5,201905,30
Israel,2019,6,201906,0
Israel,2019,7,201907,0
Israel,2019,8,201908,6
Israel,2019,9,201909,0
Israel,2019,10,201910,0
Israel,2019,11,201911,35
Israel,2019,12,201912,4
Israel,2020,1,202001,3
Israel,2020,2,202002,3
Israel,2020,3,202003,0
Israel,2020,4,202004,0
Israel,2020,5,202005,2
Israel,2020,6,202006,0
Israel,2020,7,202007,0
Israel,2020,8,202008,0
Israel,2020,9,202009,0
Israel,2020,10,202010,0
Israel,2020,11,202011,0
Israel,2020,12,202012,0
Israel,2021,1,202101,0
Israel,2021,2,202102,0
Israel,2021,3,202103,0
Israel,2021,4,202104,1
Israel,2021,5,202105,254
Israel,2021,6,202106,3
Israel,2021,7,202107,1
Israel,2021,8,202108,9
Israel,2021,9,202109,6
Israel,2021,10,202110,0
Israel,2021,11,202111,3
Israel,2021,12,202112,3
Israel,2022,1,202201,3
Israel,2022,2,202202,3
Israel,2022,3,202203,4
Israel,2022,4,202204,11
Israel,2022,5,202205,5
Israel,2022,6,202206,4
Israel,2022,7,202207,2
Israel,2022,8,202208,30
Israel,2022,9,202209,10
Israel,2022,10,202210,11
Israel,2022,11,202211,9
Israel,2022,12,202212,6
Israel,2023,1,202301,22
Israel,2023,2,202302,20
Israel,2023,3,202303,17
Israel,2023,4,202304,1
Israel,2023,5,202305,52
Israel,2023,6,202306,17
Israel,2023,7,202307,21
Israel,2023,8,202308,12
Israel,2023,9,202309,9
Israel,2023,10,202310,9944
Israel,2023,11,202311,6211
Israel,2023,12,202312,7097
Israel,2024,1,202401,1511
Israel,2024,2,202402,3135
Israel,2024,3,202403,2719
Israel,2024,4,202404,1708
Israel,2024,5,202405,1397
Israel,2024,6,202406,1874
Israel,2024,7,202407,2012
Israel,2024,8,202408,1150
Israel,2024,9,202409,1517
Israel,2024,10,202410,2239
Israel,2024,11,202411,1825
Israel,2024,12,202412,2113
Libya,2023,1,202301,0
Libya,2023,2,202302,0
Libya,2023,3,202303,0
Libya,2023,4,202304,0
Libya,2023,5,202305,2
Libya,2023,6,202306,0
Libya,2023,7,202307,0
Libya,2023,8,202308,0
Libya,2023,9,202309,0
Libya,2023,10,202310,0
Libya,2023,11,202311,0
Libya,2023,12,202312,0
Libya,2024,1,202401,0
Libya,2024,2,202402,0
Libya,2024,3,202403,0
Libya,2024,4,202404,0
Libya,2024,5,202405,0
Libya,2024,6,202406,3
Libya,2024,7,202407,3
Libya,2024,8,202408,0
Libya,2024,9,202409,3
Libya,2024,10,202410,0
Libya,2024,11,202411,0
Libya,2024,12,202412,0
Sudan,2018,1,201801,12
Sudan,2018,2,201802,74
Sudan,2018,3,201803,50
Sudan,2018,4,201804,24
Sudan,2018,5,201805,60
Sudan,2018,6,201806,34
Sudan,2018,7,201807,42
Sudan,2018,8,201808,3
Sudan,2018,9,201809,50
Sudan,2018,10,201810,9
Sudan,2018,11,201811,51
Sudan,2018,12,201812,23
Sudan,2019,1,201901,64
Sudan,2019,2,201902,14
Sudan,2019,3,201903,11
Sudan,2019,4,201904,23
Sudan,2019,5,201905,12
Sudan,2019,6,201906,115
Sudan,2019,7,201907,8
Sudan,2019,8,201908,66
Sudan,2019,9,201909,5
Sudan,2019,10,201910,2
Sudan,2019,11,201911,16
Sudan,2019,12,201912,99
Sudan,2020,1,202001,88
Sudan,2020,2,202002,1
Sudan,2020,3,202003,15
Sudan,2020,4,202004,11
Sudan,2020,5,202005,183
Sudan,2020,6,202006,47
Sudan,2020,7,202007,170
Sudan,2020,8,202008,41
Sudan,2020,9,202009,9
Sudan,2020,10,202010,20
Sudan,2020,11,202011,3
Sudan,2020,12,202012,39
Sudan,2021,1,202101,269
Sudan,2021,2,202102,2
Sudan,2021,3,202103,15
Sudan,2021,4,202104,147
Sudan,2021,5,202105,24
Sudan,2021,6,202106,90
Sudan,2021,7,202107,23
Sudan,2021,8,202108,20
Sudan,2021,9,202109,3
Sudan,2021,10,202110,17
Sudan,2021,11,202111,90
Sudan,2021,12,202112,162
Sudan,2022,1,202201,45
Sudan,2022,2,202202,41
Sudan,2022,3,202203,195
Sudan,2022,4,202204,251
Sudan,2022,5,202205,20
Sudan,2022,6,202206,207
Sudan,2022,7,202207,127
Sudan,2022,8,202208,21
Sudan,2022,9,202209,85
Sudan,2022,10,202210,296
Sudan,2022,11,202211,81
Sudan,2022,12,202212,38
Sudan,2023,1,202301,0
Sudan,2023,2,202302,29
Sudan,2023,3,202303,0
Sudan,2023,4,202304,1146
Sudan,2023,5,202305,1225
Sudan,2023,6,202306,619
Sudan,2023,7,202307,551
Sudan,2023,8,202308,672
Sudan,2023,9,202309,440
Sudan,2023,10,202310,583
Sudan,2023,11,202311,2102
Sudan,2023,12,202312,384
Sudan,2024,1,202401,342
Sudan,2024,2,202402,386
Sudan,2024,3,202403,287
Sudan,2024,4,202404,351
Sudan,2024,5,202405,507
Sudan,2024,6,202406,716
Sudan,2024,7,202407,468
Sudan,2024,8,202408,467
Sudan,2024,9,202409,553
Sudan,2024,10,202410,1333
Sudan,2024,11,202411,736
Sudan,2024,12,202412,660
Syria,2023,1,202301,148
Syria,2023,2,202302,174
Syria,2023,3,202303,147
Syria,2023,4,202304,138
Syria,2023,5,202305,74
Syria,2023,6,202306,126
Syria,2023,7,202307,114
Syria,2023,8,202308,255
Syria,2023,9,202309,259
Syria,2023,10,202310,399
Syria,2023,11,202311,192
Syria,2023,12,202312,164
Syria,2024,1,202401,162
Syria,2024,2,202402,253
Syria,2024,3,202403,360
Syria,2024,4,202404,207
Syria,2024,5,202405,163
Syria,2024,6,202406,169
Syria,2024,7,202407,122
Syria,2024,8,202408,148
Syria,2024,9,202409,200
Syria,2024,10,202410,226
Syria,2024,11,202411,731
Syria,2024,12,202412,886
Yemen,2018,1,201801,439
Yemen,2018,2,201802,259
Yemen,2018,3,201803,168
Yemen,2018,4,201804,293
Yemen,2018,5,201805,503
Yemen,2018,6,201806,725
Yemen,2018,7,201807,594
Yemen,2018,8,201808,389
Yemen,2018,9,201809,319
Yemen,2018,10,201810,394
Yemen,2018,11,201811,741
Yemen,2018,12,201812,169
Yemen,2019,1,201901,387
Yemen,2019,2,201902,217
Yemen,2019,3,201903,508
Yemen,2019,4,201904,444
Yemen,2019,5,201905,356
Yemen,2019,6,201906,59
Yemen,2019,7,201907,85
Yemen,2019,8,201908,427
Yemen,2019,9,201909,204
Yemen,2019,10,201910,133
Yemen,2019,11,201911,92
Yemen,2019,12,201912,47
Yemen,2020,1,202001,1003
Yemen,2020,2,202002,504
Yemen,2020,3,202003,659
Yemen,2020,4,202004,572
Yemen,2020,5,202005,260
Yemen,2020,6,202006,410
Yemen,2020,7,202007,179
Yemen,2020,8,202008,1482
Yemen,2020,9,202009,421
Yemen,2020,10,202010,743
Yemen,2020,11,202011,384
Yemen,2020,12,202012,131
Yemen,2021,1,202101,298
Yemen,2021,2,202102,3071
Yemen,2021,3,202103,790
Yemen,2021,4,202104,816
Yemen,2021,5,202105,229
Yemen,2021,6,202106,8920
Yemen,2021,7,202107,667
Yemen,2021,8,202108,634
Yemen,2021,9,202109,1017
Yemen,2021,10,202110,3257
Yemen,2021,11,202111,2482
Yemen,2021,12,202112,1282
Yemen,2022,1,202201,1768
Yemen,2022,2,202202,502
Yemen,2022,3,202203,205
Yemen,2022,4,202204,90
Yemen,2022,5,202205,55
Yemen,2022,6,202206,55
Yemen,2022,7,202207,69
Yemen,2022,8,202208,90
Yemen,2022,9,202209,147
Yemen,2022,10,202210,83
Yemen,2022,11,202211,69
Yemen,2022,12,202212,87
Yemen,2023,1,202301,97
Yemen,2023,2,202302,84
Yemen,2023,3,202303,154
Yemen,2023,4,202304,39
Yemen,2023,5,202305,48
Yemen,2023,6,202306,30
Yemen,2023,7,202307,55
Yemen,2023,8,202308,105
Yemen,2023,9,202309,194
Yemen,2023,10,202310,53
Yemen,2023,11,202311,40
Yemen,2023,12,202312,11
Yemen,2024,1,202401,100
Yemen,2024,2,202402,66
Yemen,2024,3,202403,78
Yemen,2024,4,202404,216
Yemen,2024,5,202405,102
Yemen,2024,6,202406,41
Yemen,2024,7,202407,112
Yemen,2024,8,202408,43
Yemen,2024,9,202409,26
Yemen,2024,10,202410,8
Yemen,2024,11,202411,17
Yemen,2024,12,202412,63
